City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sidi Ali,DZ,2021-03-20 05:11:42,36.0998,0.4206,46.0,80,93,16.53
67,Ouahigouya,BF,2021-03-20 05:11:43,13.5828,-2.4216,79.45,12,40,8.03
68,Port Alfred,ZA,2021-03-20 05:08:27,-33.5906,26.891,70.39,93,96,13.73
69,Adrar,MR,2021-03-20 05:11:43,20.5022,-10.0711,64.89,24,0,15.35
70,Luderitz,NA,2021-03-20 05:11:43,-26.6481,15.1594,63.3,78,51,21.9
71,Olavarria,AR,2021-03-20 05:11:43,-36.8927,-60.3225,62.01,77,93,8.37
72,Taltal,CL,2021-03-20 05:11:44,-25.4,-70.4833,62.6,84,6,2.89
73,San Francisco De Macoris,DO,2021-03-20 05:11:44,19.2952,-70.2554,73.4,88,20,4.61
74,Kidal,ML,2021-03-20 05:11:44,18.4411,1.4078,70.41,11,16,5.08
75,Iqaluit,CA,2021-03-20 05:11:45,63.7506,-68.5145,-20.0,69,1,13.8
76,Strezhevoy,RU,2021-03-20 05:11:45,60.7333,77.5889,26.6,59,0,11.18
77,Kosa,RU,2021-03-20 05:11:45,59.9445,54.9977,22.55,92,94,6.8
78,Pelaya,CO,2021-03-20 05:11:46,8.6882,-73.6645,76.59,81,99,3.2
79,Georgetown,MY,2021-03-20 05:11:46,5.4112,100.3354,87.8,51,20,9.22
80,Constantine,DZ,2021-03-20 05:11:46,36.365,6.6147,41.0,93,75,2.3
81,Klaksvik,FO,2021-03-20 05:11:46,62.2266,-6.589,46.4,93,75,21.85
82,Hargeysa,SO,2021-03-20 05:11:43,9.56,44.065,66.38,68,16,4.72
83,Mehamn,NO,2021-03-20 05:11:47,71.0357,27.8492,31.68,91,100,26.02
84,Saint-Francois,FR,2021-03-20 05:11:47,46.4154,3.9054,32.0,74,0,13.8
85,Prattville,US,2021-03-20 05:11:47,32.464,-86.4597,53.6,76,90,3.44
86,Vardo,NO,2021-03-20 05:11:47,70.3705,31.1107,32.45,78,98,20.54
87,Karatau,KZ,2021-03-20 05:11:48,43.1667,70.4667,51.69,83,100,8.61
88,Onega,RU,2021-03-20 05:11:48,63.9061,38.1404,8.42,86,99,7.52
89,Tucurui,BR,2021-03-20 05:11:48,-3.7661,-49.6725,71.47,95,100,2.08
90,Chichester,GB,2021-03-20 05:11:49,50.8367,-0.78,36.0,90,47,6.11
91,Victoria,HK,2021-03-20 05:08:06,22.2855,114.1577,82.4,61,20,9.22
92,Bonavista,CA,2021-03-20 05:11:49,48.6499,-53.1147,28.99,100,100,6.91
93,Asmara,ER,2021-03-20 05:11:49,15.3333,38.9333,56.19,63,0,8.28
94,Itacoatiara,BR,2021-03-20 05:10:58,-3.1431,-58.4442,72.64,96,65,2.71
95,Ati,TD,2021-03-20 05:11:50,13.2154,18.3353,77.04,55,56,5.61
96,Kukmor,RU,2021-03-20 05:11:50,56.1855,50.8944,20.35,94,99,15.32
97,Hithadhoo,MV,2021-03-20 05:11:50,-0.6,73.0833,83.01,71,100,9.71
98,Raudeberg,NO,2021-03-20 05:11:51,61.9875,5.1352,43.0,95,100,20.18
99,Bafq,IR,2021-03-20 05:07:18,31.6128,55.4107,70.09,19,0,6.67
100,Panaba,MX,2021-03-20 05:11:51,21.2833,-88.2667,66.54,86,6,6.53
101,Laje,BR,2021-03-20 05:11:51,-10.1833,-40.9667,68.31,93,41,5.01
102,Barentu,ER,2021-03-20 05:11:51,15.1139,37.5928,73.4,41,0,8.95
103,Merke,KZ,2021-03-20 05:11:52,42.8728,73.1786,55.72,63,100,4.12
104,Ylivieska,FI,2021-03-20 05:11:52,64.0833,24.55,30.99,91,100,4.0
105,Boa Vista,BR,2021-03-20 05:08:23,2.8197,-60.6733,78.8,61,0,10.36
106,Vestmannaeyjar,IS,2021-03-20 05:11:52,63.4427,-20.2734,38.91,75,100,23.69
107,Ngaoundere,CM,2021-03-20 05:11:52,7.3167,13.5833,67.86,80,88,2.21
108,Tuttlingen,DE,2021-03-20 05:11:53,47.9833,8.8167,24.01,90,3,1.99
109,Beaverton,US,2021-03-20 05:08:14,45.4871,-122.8037,46.4,76,40,12.66
110,Sencha,UA,2021-03-20 05:11:53,50.2548,33.346,32.41,97,100,3.58
