City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Husavik,IS,66.0449,-17.3389,33.8,69,40,23.02,scattered clouds
79,Atbasar,KZ,51.8,68.3333,3.24,100,99,3.02,overcast clouds
80,Faya,SA,18.3851,42.4509,64.4,72,0,5.48,clear sky
81,Chapais,CA,49.7834,-74.8492,53.6,28,99,15.37,overcast clouds
82,Kolokani,ML,13.5728,-8.0339,89.65,19,100,5.46,overcast clouds
83,Castro,BR,-24.7911,-50.0119,73.47,83,63,3.58,broken clouds
84,Lasa,IT,46.6166,10.7002,50.0,69,20,9.22,few clouds
85,Meulaboh,ID,4.1363,96.1285,76.05,87,100,4.05,overcast clouds
86,Catamarca,AR,-28.4696,-65.7852,69.01,92,98,1.01,overcast clouds
87,Iqaluit,CA,63.7506,-68.5145,-13.0,64,1,16.11,snow
88,Olinda,BR,-8.0089,-34.8553,80.6,65,20,9.22,few clouds
89,Clyde River,CA,70.4692,-68.5914,-18.4,63,20,11.5,few clouds
90,Olafsvik,IS,64.8945,-23.7142,35.1,76,98,39.8,light snow
91,Naryan-Mar,RU,67.6713,53.087,15.19,97,100,2.68,overcast clouds
92,Chissamba,AO,-12.1667,17.3333,63.7,90,27,3.38,light rain
93,Sao Filipe,CV,14.8961,-24.4956,70.81,73,2,8.25,clear sky
94,Bumba,CD,2.1833,22.4667,72.36,89,100,2.15,overcast clouds
95,Businga,CD,3.3333,20.8833,72.32,83,68,1.21,broken clouds
96,Cookeville,US,36.1628,-85.5016,69.8,30,40,4.61,scattered clouds
97,Hithadhoo,MV,-0.6,73.0833,82.92,74,11,8.79,few clouds
98,Mayumba,GA,-3.432,10.6554,76.93,84,99,5.75,overcast clouds
99,Umm Kaddadah,SD,13.6017,26.6876,87.93,22,74,3.69,broken clouds
100,Najran,SA,17.4924,44.1277,71.6,21,0,2.51,clear sky
101,Kargasok,RU,59.0556,80.8572,19.9,97,100,3.44,overcast clouds
102,Itum-Kale,RU,42.7356,45.5758,45.39,71,100,9.19,overcast clouds
103,Caravelas,BR,-17.7125,-39.2481,80.17,73,0,5.88,clear sky
104,Krasnovishersk,RU,60.4078,57.082,25.27,95,100,10.67,light snow
105,Zyryanovsk,KZ,49.7386,84.2719,25.27,98,100,2.98,overcast clouds
106,Lebu,CL,-37.6167,-73.65,62.13,71,36,10.98,scattered clouds
107,Mpongwe,ZM,-13.5091,28.155,63.77,97,25,5.08,light rain
108,Souillac,MU,-20.5167,57.5167,78.8,89,40,7.61,scattered clouds
109,Quatre Cocos,MU,-20.2078,57.7625,79.0,89,40,6.96,scattered clouds
